"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","old_la_code","new_la_code","la_name","fsm_status","progression_rate","high_tariff_progression_rate","number_of_he_students","number_of_high_tariff_he_students","number_of_students"
200708,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Total",42.6,"x",608,"x",1427
200809,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","All Other Pupils",52,"13.7",632,"167",1216
200809,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Free School Meals",23.9,"1.4",53,"3",222
200809,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Total",47.6,"11.8",685,"170",1438
200910,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","All Other Pupils",55.1,"17.1",681,"211",1237
200910,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Free School Meals",32.9,"2.4",69,"5",210
200910,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Total",51.8,"14.9",750,"216",1447
201011,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","All Other Pupils",53,"18.8",699,"248",1319
201011,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Free School Meals",32.1,"4.9",72,"11",224
201011,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Total",50,"16.8",771,"259",1543
201112,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","All Other Pupils",53.8,"21.7",728,"293",1353
201112,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Free School Meals",36,"4.7",76,"10",211
201112,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Total",51.4,"19.4",804,"303",1564
201213,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","All Other Pupils",54.6,"17.5",697,"223",1276
201213,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Free School Meals",35.2,"4.8",81,"11",230
201213,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Total",51.7,"15.5",778,"234",1506
201314,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","All Other Pupils",57.9,"19.6",787,"267",1360
201314,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Free School Meals",35.6,"4.2",85,"10",239
201314,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Total",54.5,"17.3",872,"277",1599
201415,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","All Other Pupils",61.4,"21.7",858,"303",1398
201415,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Free School Meals",38.5,"9.2",75,"18",195
201415,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Total",58.6,"20.2",933,"321",1593
201516,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","All Other Pupils",60.3,"17.3",825,"237",1369
201516,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Free School Meals",37.2,"5.5",81,"12",218
201516,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Total",57.1,"15.7",906,"249",1587
201617,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","All Other Pupils",62.1,"18.1",910,"266",1466
201617,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Free School Meals",42.3,"6.1",90,"13",213
201617,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Total",59.6,"16.6",1000,"279",1679
201718,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","All Other Pupils",64.8,"17.9",928,"257",1433
201718,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Free School Meals",41.7,"5.5",83,"11",199
201718,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Total",61.9,"16.4",1011,"268",1632
201819,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","All Other Pupils",64.2,"20.8",934,"302",1454
201819,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Free School Meals",38.3,"4.1",74,"8",193
201819,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Total",61.2,"18.8",1008,"310",1647
201920,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","All Other Pupils",62.7,"18.3",937,"273",1495
201920,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Free School Meals",43.8,"9.6",64,"14",146
201920,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Total",61,"17.5",1001,"287",1641
202021,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","All Other Pupils",65.3,"17.2",977,"257",1496
202021,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Free School Meals",43,"5.7",68,"9",158
202021,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Total",63.2,"16.1",1045,"266",1654
202122,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","All Other Pupils",69.7,"20.9",1074,"322",1540
202122,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Free School Meals",45.8,"6.5",70,"10",153
202122,"Academic year","Local authority","E92000001","England","E12000008","South East","871","E06000039","Slough","Total",67.6,"19.6",1144,"332",1693
200506,"Academic year","Local authority","E92000001","England","E12000008","South East","872","E06000041","Wokingham","All Other Pupils",44.3,"x",741,"x",1673
200506,"Academic year","Local authority","E92000001","England","E12000008","South East","872","E06000041","Wokingham","Free School Meals",5.3,"x",5,"x",94
