"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","old_la_code","new_la_code","la_name","fsm_status","progression_rate","high_tariff_progression_rate","number_of_he_students","number_of_high_tariff_he_students","number_of_students"
200506,"Academic year","National","E92000001","England","","","","","","All Other Pupils",33.5,"x",160266,"x",479043
200506,"Academic year","National","E92000001","England","","","","","","Free School Meals",14.2,"x",11473,"x",80667
200506,"Academic year","National","E92000001","England","","","","","","Total",30.7,"x",171739,"x",559710
200607,"Academic year","National","E92000001","England","","","","","","All Other Pupils",34,"x",167897,"x",493715
200607,"Academic year","National","E92000001","England","","","","","","Free School Meals",15.1,"x",12254,"x",81216
200607,"Academic year","National","E92000001","England","","","","","","Total",31.3,"x",180151,"x",574931
200708,"Academic year","National","E92000001","England","","","","","","All Other Pupils",33.9,"x",173088,"x",509834
200708,"Academic year","National","E92000001","England","","","","","","Free School Meals",15.9,"x",13249,"x",83186
200708,"Academic year","National","E92000001","England","","","","","","Total",31.4,"x",186337,"x",593020
200809,"Academic year","National","E92000001","England","","","","","","All Other Pupils",34.9,"8.2",176471,"41356",504973
200809,"Academic year","National","E92000001","England","","","","","","Free School Meals",17.4,"1.7",14049,"1384",80831
200809,"Academic year","National","E92000001","England","","","","","","Total",32.5,"7.3",190520,"42740",585804
200910,"Academic year","National","E92000001","England","","","","","","All Other Pupils",36.2,"9.4",187028,"48529",516955
200910,"Academic year","National","E92000001","England","","","","","","Free School Meals",18.6,"2",14664,"1537",78802
200910,"Academic year","National","E92000001","England","","","","","","Total",33.9,"8.4",201692,"50066",595757
201011,"Academic year","National","E92000001","England","","","","","","All Other Pupils",37.4,"9.5",196494,"49722",525143
201011,"Academic year","National","E92000001","England","","","","","","Free School Meals",19.8,"2.4",15309,"1889",77477
201011,"Academic year","National","E92000001","England","","","","","","Total",35.1,"8.6",211803,"51611",602620
201112,"Academic year","National","E92000001","England","","","","","","All Other Pupils",38.3,"10.6",200879,"55490",524696
201112,"Academic year","National","E92000001","England","","","","","","Free School Meals",20.3,"2.8",15262,"2104",75299
201112,"Academic year","National","E92000001","England","","","","","","Total",36,"9.6",216141,"57594",599995
201213,"Academic year","National","E92000001","England","","","","","","All Other Pupils",38.8,"9.5",196114,"48212",505257
201213,"Academic year","National","E92000001","England","","","","","","Free School Meals",21.3,"2.4",15927,"1811",74636
201213,"Academic year","National","E92000001","England","","","","","","Total",36.6,"8.6",212041,"50023",579893
201314,"Academic year","National","E92000001","England","","","","","","All Other Pupils",39.1,"10",196091,"50255",501925
201314,"Academic year","National","E92000001","England","","","","","","Free School Meals",22.3,"2.7",17333,"2115",77706
201314,"Academic year","National","E92000001","England","","","","","","Total",36.8,"9",213424,"52370",579631
201415,"Academic year","National","E92000001","England","","","","","","All Other Pupils",41.6,"11.4",203263,"55534",488595
201415,"Academic year","National","E92000001","England","","","","","","Free School Meals",24.1,"3.3",19228,"2618",79621
201415,"Academic year","National","E92000001","England","","","","","","Total",39.2,"10.2",222491,"58152",568216
201516,"Academic year","National","E92000001","England","","","","","","All Other Pupils",43.3,"11.4",208442,"55068",481837
201516,"Academic year","National","E92000001","England","","","","","","Free School Meals",25.7,"3.2",20640,"2546",80436
201516,"Academic year","National","E92000001","England","","","","","","Total",40.7,"10.2",229082,"57614",562273
201617,"Academic year","National","E92000001","England","","","","","","All Other Pupils",43.9,"10.9",213841,"53134",487415
201617,"Academic year","National","E92000001","England","","","","","","Free School Meals",26.2,"3.1",22392,"2653",85527
201617,"Academic year","National","E92000001","England","","","","","","Total",41.2,"9.7",236233,"55787",572942
201718,"Academic year","National","E92000001","England","","","","","","All Other Pupils",44.9,"11.2",214878,"53767",478927
201718,"Academic year","National","E92000001","England","","","","","","Free School Meals",26.3,"3.4",21276,"2760",81033
201718,"Academic year","National","E92000001","England","","","","","","Total",42.2,"10.1",236154,"56527",559960
201819,"Academic year","National","E92000001","England","","","","","","All Other Pupils",45.1,"12",215624,"57373",477908
201819,"Academic year","National","E92000001","England","","","","","","Free School Meals",26.3,"4.1",20247,"3136",76850
201819,"Academic year","National","E92000001","England","","","","","","Total",42.5,"10.9",235871,"60509",554758
201920,"Academic year","National","E92000001","England","","","","","","All Other Pupils",45.7,"12",214118,"56167",468450
201920,"Academic year","National","E92000001","England","","","","","","Free School Meals",26.6,"4",19291,"2869",72572
201920,"Academic year","National","E92000001","England","","","","","","Total",43.1,"10.9",233409,"59036",541022
202021,"Academic year","National","E92000001","England","","","","","","All Other Pupils",46.8,"12.4",215383,"57212",459750
202021,"Academic year","National","E92000001","England","","","","","","Free School Meals",28.1,"4.5",19718,"3128",70052
202021,"Academic year","National","E92000001","England","","","","","","Total",44.4,"11.4",235101,"60340",529802
202122,"Academic year","National","E92000001","England","","","","","","All Other Pupils",49.4,"14.6",225700,"66912",457300
202122,"Academic year","National","E92000001","England","","","","","","Free School Meals",29.2,"5.3",19443,"3564",66690
202122,"Academic year","National","E92000001","England","","","","","","Total",46.8,"13.4",245143,"70476",523990
200506,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",31.2,"x",8091,"x",25972
200506,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",8.4,"x",484,"x",5767
200506,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",27,"x",8575,"x",31739
200607,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",31.7,"x",8377,"x",26396
200607,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",9.2,"x",527,"x",5745
200607,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",27.7,"x",8904,"x",32141
200708,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",32.5,"x",8697,"x",26787
200708,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",9.8,"x",560,"x",5706
200708,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",28.5,"x",9257,"x",32493
200809,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",33.1,"6.9",8463,"1778",25583
200809,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",10.9,"1",599,"55",5511
200809,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",29.1,"5.9",9062,"1833",31094
200910,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",34.1,"7.1",9080,"1880",26650
200910,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",11.5,"0.7",586,"35",5097
200910,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",30.4,"6",9666,"1915",31747
201011,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",35.4,"7.2",9734,"1984",27484
201011,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",12.5,"1",652,"53",5198
201011,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",31.8,"6.2",10386,"2037",32682
201112,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",36.3,"7.5",9962,"2071",27442
201112,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",14,"1.2",666,"56",4768
201112,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",33,"6.6",10628,"2127",32210
201213,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",36.2,"7.1",9435,"1856",26045
201213,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",13.4,"1.4",630,"65",4714
201213,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",32.7,"6.2",10065,"1921",30759
201314,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",36.9,"7.9",9192,"1954",24880
201314,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",14.1,"1.5",670,"70",4761
201314,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",33.3,"6.8",9862,"2024",29641
201415,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",39.8,"8.7",9632,"2107",24183
201415,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",16.2,"1.9",836,"99",5176
201415,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",35.7,"7.5",10468,"2206",29359
201516,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",40.7,"9.2",9534,"2148",23415
201516,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",17.3,"2",903,"105",5226
201516,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",36.4,"7.9",10437,"2253",28641
201617,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",41.6,"9.6",9752,"2255",23441
201617,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",18.2,"2.3",993,"126",5450
201617,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",37.2,"8.2",10745,"2381",28891
201718,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",44,"10.6",9970,"2393",22675
201718,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",19.3,"2.1",985,"109",5113
201718,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",39.4,"9",10955,"2502",27788
201819,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",44.3,"11.2",9972,"2528",22509
201819,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",21.3,"3",974,"135",4571
201819,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",40.4,"9.8",10946,"2663",27080
201920,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",43,"11.3",9342,"2453",21701
201920,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",20.8,"2.8",917,"125",4410
201920,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",39.3,"9.9",10259,"2578",26111
202021,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",44.3,"11.8",9240,"2450",20837
202021,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",21.8,"3.3",954,"145",4379
202021,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",40.4,"10.3",10194,"2595",25216
202122,"Academic year","Regional","E92000001","England","E12000001","North East","","","","All Other Pupils",46.7,"13.9",9634,"2877",20650
202122,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Free School Meals",21.9,"3.5",916,"148",4174
202122,"Academic year","Regional","E92000001","England","E12000001","North East","","","","Total",42.5,"12.2",10550,"3025",24824
200506,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",34,"x",23169,"x",68197
200506,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",12.5,"x",1984,"x",15902
200506,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",29.9,"x",25153,"x",84099
200607,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",34.4,"x",23973,"x",69625
200607,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",12.6,"x",2021,"x",16001
200607,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",30.4,"x",25994,"x",85626
200708,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",34.7,"x",25046,"x",72199
200708,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",13.6,"x",2193,"x",16121
200708,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",30.8,"x",27239,"x",88320
200809,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",35.2,"8.3",25115,"5895",71265
200809,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",14.4,"1.5",2245,"238",15582
200809,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",31.5,"7.1",27360,"6133",86847
200910,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",36.7,"10.3",26951,"7534",73342
200910,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",15.7,"2.1",2358,"317",15044
200910,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",33.2,"8.9",29309,"7851",88386
201011,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",38.3,"10.2",28744,"7622",74964
201011,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",16.3,"2.3",2399,"343",14703
201011,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",34.7,"8.9",31143,"7965",89667
201112,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",39.9,"10.6",29544,"7846",73968
201112,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",17.5,"2.2",2482,"306",14210
201112,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",36.3,"9.2",32026,"8152",88178
201213,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",40.8,"9.9",28506,"6949",69871
201213,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",18.4,"2.2",2537,"302",13765
201213,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",37.1,"8.7",31043,"7251",83636
201314,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",41.6,"10.9",28459,"7440",68415
201314,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",19.9,"2.7",2745,"374",13799
201314,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",38,"9.5",31204,"7814",82214
201415,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",43.6,"12",28959,"7975",66399
201415,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",20.8,"2.9",2831,"394",13584
201415,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",39.7,"10.5",31790,"8369",79983
201516,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",45,"12.4",29619,"8144",65860
201516,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",22.2,"3.2",2925,"422",13172
201516,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",41.2,"10.8",32544,"8566",79032
201617,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",45.1,"10.5",30062,"7025",66644
201617,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",23.1,"2.3",3258,"329",14074
201617,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",41.3,"9.1",33320,"7354",80718
201718,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",45.7,"11.1",29576,"7183",64709
201718,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",23.2,"3",2952,"377",12711
201718,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",42,"9.8",32528,"7560",77420
201819,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",45.3,"13",29293,"8387",64613
201819,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",23.6,"3.7",2885,"447",12227
201819,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",41.9,"11.5",32178,"8834",76840
201920,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",45.9,"12.8",28973,"8049",63059
201920,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",24,"3.6",2726,"414",11369
201920,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",42.6,"11.4",31699,"8463",74428
202021,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",46.2,"12.6",28511,"7803",61765
202021,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",26,"4",2893,"445",11126
202021,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",43.1,"11.3",31404,"8248",72891
202122,"Academic year","Regional","E92000001","England","E12000002","North West","","","","All Other Pupils",48.7,"14.9",29831,"9129",61234
202122,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Free School Meals",26.6,"4.6",2857,"493",10732
202122,"Academic year","Regional","E92000001","England","E12000002","North West","","","","Total",45.4,"13.4",32688,"9622",71966
200506,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","All Other Pupils",30.5,"x",15562,"x",50992
200506,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Free School Meals",10.2,"x",976,"x",9569
200506,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Total",27.3,"x",16538,"x",60561
200607,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","All Other Pupils",30.6,"x",16036,"x",52381
200607,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Free School Meals",11.3,"x",1077,"x",9503
200607,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Total",27.7,"x",17113,"x",61884
200708,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","All Other Pupils",31.3,"x",16853,"x",53759
200708,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Free School Meals",11.6,"x",1108,"x",9534
200708,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Total",28.4,"x",17961,"x",63293
200809,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","All Other Pupils",32.3,"7.9",17024,"4188",52718
200809,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Free School Meals",13,"1.4",1207,"133",9267
200809,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Total",29.4,"7",18231,"4321",61985
200910,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","All Other Pupils",32.6,"8.6",17763,"4684",54420
200910,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Free School Meals",13.4,"1.7",1194,"151",8878
200910,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Total",29.9,"7.6",18957,"4835",63298
201011,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","All Other Pupils",34.3,"8.5",19047,"4714",55553
201011,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Free School Meals",15.4,"1.7",1333,"145",8632
201011,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Total",31.8,"7.6",20380,"4859",64185
201112,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","All Other Pupils",34.8,"8.5",19288,"4709",55460
201112,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Free School Meals",14.9,"1.6",1266,"140",8520
201112,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Total",32.1,"7.6",20554,"4849",63980
201213,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","All Other Pupils",36.2,"7.8",19102,"4097",52726
201213,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Free School Meals",16.1,"1.6",1349,"138",8395
201213,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Total",33.5,"6.9",20451,"4235",61121
201314,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","All Other Pupils",36.8,"8.5",19104,"4415",51861
201314,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Free School Meals",17.4,"1.5",1496,"131",8597
201314,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Total",34.1,"7.5",20600,"4546",60458
201415,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","All Other Pupils",38.7,"9.6",19577,"4838",50552
201415,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Free School Meals",18.8,"2.2",1638,"193",8703
201415,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Total",35.8,"8.5",21215,"5031",59255
201516,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","All Other Pupils",41.1,"9.9",20551,"4951",50027
201516,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Free School Meals",20.7,"2.5",1820,"221",8791
201516,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Total",38,"8.8",22371,"5172",58818
201617,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","All Other Pupils",42,"9.6",20830,"4774",49551
201617,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Free School Meals",21.1,"2.4",1917,"217",9092
201617,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Total",38.8,"8.5",22747,"4991",58643
201718,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","All Other Pupils",42.9,"9.9",20805,"4792",48546
201718,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Free School Meals",21.7,"2.8",1949,"250",8981
201718,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Total",39.6,"8.8",22754,"5042",57527
201819,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","All Other Pupils",42.7,"10.9",20677,"5273",48422
201819,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Free School Meals",22,"2.8",1857,"234",8447
201819,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Total",39.6,"9.7",22534,"5507",56869
201920,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","All Other Pupils",42.9,"11.1",20061,"5192",46760
201920,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Free School Meals",22.9,"3",1828,"236",7967
201920,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Total",40,"9.9",21889,"5428",54727
202021,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","All Other Pupils",44.6,"11.4",20272,"5190",45476
202021,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Free School Meals",23.8,"3.2",1888,"252",7927
202021,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Total",41.5,"10.2",22160,"5442",53403
202122,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","All Other Pupils",46.3,"13.1",21094,"5947",45548
202122,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Free School Meals",25.7,"3.6",1933,"274",7508
202122,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","Total",43.4,"11.7",23027,"6221",53056
200506,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","All Other Pupils",32.4,"x",14241,"x",43974
200506,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Free School Meals",10.5,"x",577,"x",5479
200506,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Total",30,"x",14818,"x",49453
200607,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","All Other Pupils",33.1,"x",14899,"x",45053
200607,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Free School Meals",10.5,"x",578,"x",5494
200607,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Total",30.6,"x",15477,"x",50547
200708,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","All Other Pupils",32.3,"x",15113,"x",46797
200708,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Free School Meals",11.8,"x",673,"x",5696
200708,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Total",30.1,"x",15786,"x",52493
200809,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","All Other Pupils",33.6,"7.7",15682,"3573",46689
200809,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Free School Meals",13.1,"1.4",714,"74",5468
200809,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Total",31.4,"7",16396,"3647",52157
200910,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","All Other Pupils",34.2,"9.4",16337,"4501",47720
200910,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Free School Meals",12.7,"2.1",670,"112",5255
200910,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Total",32.1,"8.7",17007,"4613",52975
201011,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","All Other Pupils",35.2,"9",17286,"4423",49130
201011,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Free School Meals",14.1,"1.9",739,"101",5223
201011,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Total",33.2,"8.3",18025,"4524",54353
201112,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","All Other Pupils",35.5,"9.3",17308,"4515",48809
201112,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Free School Meals",14.1,"1.9",700,"94",4968
201112,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Total",33.5,"8.6",18008,"4609",53777
201213,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","All Other Pupils",36.3,"7.8",16974,"3655",46776
201213,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Free School Meals",14.3,"1.3",732,"68",5113
201213,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Total",34.1,"7.2",17706,"3723",51889
201314,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","All Other Pupils",36,"8.3",16755,"3852",46493
201314,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Free School Meals",15.3,"1.5",851,"84",5580
201314,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Total",33.8,"7.6",17606,"3936",52073
201415,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","All Other Pupils",38.9,"9.4",17565,"4263",45122
201415,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Free School Meals",15.4,"1.9",872,"106",5656
201415,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Total",36.3,"8.6",18437,"4369",50778
201516,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","All Other Pupils",39.7,"9.7",17301,"4221",43587
201516,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Free School Meals",16.4,"1.9",954,"112",5817
201516,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Total",37,"8.8",18255,"4333",49404
201617,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","All Other Pupils",40.4,"9.1",17838,"4019",44153
201617,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Free School Meals",18.7,"2.1",1190,"132",6352
201617,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Total",37.7,"8.2",19028,"4151",50505
201718,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","All Other Pupils",41.4,"9.6",17897,"4175",43265
201718,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Free School Meals",19.9,"2.3",1270,"144",6385
201718,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Total",38.6,"8.7",19167,"4319",49650
201819,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","All Other Pupils",41.6,"9.8",17923,"4205",43078
201819,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Free School Meals",18.3,"2.4",1121,"145",6138
201819,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Total",38.7,"8.8",19044,"4350",49216
201920,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","All Other Pupils",42.3,"9.9",17773,"4146",41969
201920,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Free School Meals",18.7,"2.3",1060,"132",5666
201920,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","Total",39.5,"9",18833,"4278",47635
202021,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","All Other Pupils",43.2,"10.1",17635,"4130",40810
