"time_period","time_identifier","geographic_level","country_code","country_name","a_level_status","school_type","progression_rate","high_tariff_progression_rate","number_of_he_students","number_of_high_tariff_he_students","number_of_students"
201920,"Academic year","National","E92000001","England","Total","Total",76.7,27.2,209447,74289,273200
202021,"Academic year","National","E92000001","England","ALevel","Independent",87.3,57.3,26532,17418,30406
202021,"Academic year","National","E92000001","England","ALevel","Selective State",89.4,49.3,19388,10696,21682
202021,"Academic year","National","E92000001","England","ALevel","Other State",78.6,23.4,151778,45211,193043
202021,"Academic year","National","E92000001","England","ALevel","Total",80.6,29.9,197698,73325,245131
202021,"Academic year","National","E92000001","England","Total","Independent",86.3,57.4,28064,18651,32504
202021,"Academic year","National","E92000001","England","Total","Selective State",89.3,49.5,20185,11190,22591
202021,"Academic year","National","E92000001","England","Total","Other State",74.5,20.5,168330,46273,226029
202021,"Academic year","National","E92000001","England","Total","Total",77,27.1,216579,76114,281124
202122,"Academic year","National","E92000001","England","ALevel","Independent",88.7,63.2,26494,18864,29865
202122,"Academic year","National","E92000001","England","ALevel","Selective State",91,54,20073,11916,22067
202122,"Academic year","National","E92000001","England","ALevel","Other State",81.4,27.7,159932,54535,196553
202122,"Academic year","National","E92000001","England","ALevel","Total",83.1,34.3,206499,85315,248485
202122,"Academic year","National","E92000001","England","Total","Independent",87.6,62.8,28253,20239,32240
202122,"Academic year","National","E92000001","England","Total","Selective State",90.9,54.2,20844,12436,22935
202122,"Academic year","National","E92000001","England","Total","Other State",76.4,23.6,181247,55897,237233
202122,"Academic year","National","E92000001","England","Total","Total",78.8,30.3,230344,88572,292408
