"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","old_la_code","new_la_code","la_name","gender","progression_rate","high_tariff_progression_rate","number_of_he_students","number_of_high_tariff_he_students","number_of_students"
201617,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","860","E10000028","Staffordshire","Total",38.1,"6.8",3706,"658",9735
201718,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","860","E10000028","Staffordshire","Female",45.4,"6.7",2032,"302",4477
201718,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","860","E10000028","Staffordshire","Male",32.1,"5.3",1554,"255",4837
201718,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","860","E10000028","Staffordshire","Total",38.5,"6",3586,"557",9314
201819,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","860","E10000028","Staffordshire","Female",46.5,"9.2",2000,"397",4300
201819,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","860","E10000028","Staffordshire","Male",33.8,"6.1",1579,"287",4676
201819,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","860","E10000028","Staffordshire","Total",39.9,"7.6",3579,"684",8976
201920,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","860","E10000028","Staffordshire","Female",46.1,"7.4",1981,"319",4300
201920,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","860","E10000028","Staffordshire","Male",33.1,"6.7",1483,"300",4487
201920,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","860","E10000028","Staffordshire","Total",39.4,"7",3464,"619",8787
202021,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","860","E10000028","Staffordshire","Female",47.7,"8.5",1999,"354",4187
202021,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","860","E10000028","Staffordshire","Male",32.7,"6",1412,"260",4321
202021,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","860","E10000028","Staffordshire","Total",40.1,"7.2",3411,"614",8508
202122,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","860","E10000028","Staffordshire","Female",48.2,"9.8",1944,"396",4034
202122,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","860","E10000028","Staffordshire","Male",34.3,"7.3",1473,"313",4292
202122,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","860","E10000028","Staffordshire","Total",41,"8.5",3417,"709",8326
200910,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Female",27.3,"3.7",424,"57",1553
200910,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Male",19.4,"2.9",285,"43",1469
200910,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Total",23.5,"3.3",709,"100",3022
201011,"Academic year","Local authority","E92000001","England","E12000005","West Midlands","861","E06000021","Stoke-on-Trent","Female",30.5,"3.5",446,"51",1460
