"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","old_la_code","new_la_code","la_name","progression_rate_fsm","progression_rate_non_fsm","progression_rate","high_tariff_progression_rate_fsm","high_tariff_progression_rate_non_fsm","high_tariff_progression_rate","progression_rate_gap","high_tariff_progression_rate_gap"
200506,"Academic year","National","E92000001","England","","","","","","14.2","33.5","30.7","x","x","x","19.2","x"
200607,"Academic year","National","E92000001","England","","","","","","15.1","34","31.3","x","x","x","18.9","x"
200708,"Academic year","National","E92000001","England","","","","","","15.9","33.9","31.4","x","x","x","18","x"
200809,"Academic year","National","E92000001","England","","","","","","17.4","34.9","32.5","1.7","8.2","7.3","17.6","6.5"
200910,"Academic year","National","E92000001","England","","","","","","18.6","36.2","33.9","2","9.4","8.4","17.6","7.4"
201011,"Academic year","National","E92000001","England","","","","","","19.8","37.4","35.1","2.4","9.5","8.6","17.7","7"
201112,"Academic year","National","E92000001","England","","","","","","20.3","38.3","36","2.8","10.6","9.6","18","7.8"
201213,"Academic year","National","E92000001","England","","","","","","21.3","38.8","36.6","2.4","9.5","8.6","17.5","7.1"
201314,"Academic year","National","E92000001","England","","","","","","22.3","39.1","36.8","2.7","10","9","16.8","7.3"
201415,"Academic year","National","E92000001","England","","","","","","24.1","41.6","39.2","3.3","11.4","10.2","17.5","8.1"
201516,"Academic year","National","E92000001","England","","","","","","25.7","43.3","40.7","3.2","11.4","10.2","17.6","8.3"
201617,"Academic year","National","E92000001","England","","","","","","26.2","43.9","41.2","3.1","10.9","9.7","17.7","7.8"
201718,"Academic year","National","E92000001","England","","","","","","26.3","44.9","42.2","3.4","11.2","10.1","18.6","7.8"
201819,"Academic year","National","E92000001","England","","","","","","26.3","45.1","42.5","4.1","12","10.9","18.8","7.9"
201920,"Academic year","National","E92000001","England","","","","","","26.6","45.7","43.1","4","12","10.9","19.1","8"
202021,"Academic year","National","E92000001","England","","","","","","28.1","46.8","44.4","4.5","12.4","11.4","18.7","8"
202122,"Academic year","National","E92000001","England","","","","","","29.2","49.4","46.8","5.3","14.6","13.4","20.2","9.3"
200506,"Academic year","Regional","E92000001","England","E12000001","North East","","","","8.4","31.2","27","x","x","x","22.8","x"
200607,"Academic year","Regional","E92000001","England","E12000001","North East","","","","9.2","31.7","27.7","x","x","x","22.6","x"
200708,"Academic year","Regional","E92000001","England","E12000001","North East","","","","9.8","32.5","28.5","x","x","x","22.7","x"
200809,"Academic year","Regional","E92000001","England","E12000001","North East","","","","10.9","33.1","29.1","1","6.9","5.9","22.2","6"
200910,"Academic year","Regional","E92000001","England","E12000001","North East","","","","11.5","34.1","30.4","0.7","7.1","6","22.6","6.4"
201011,"Academic year","Regional","E92000001","England","E12000001","North East","","","","12.5","35.4","31.8","1","7.2","6.2","22.9","6.2"
201112,"Academic year","Regional","E92000001","England","E12000001","North East","","","","14","36.3","33","1.2","7.5","6.6","22.3","6.4"
201213,"Academic year","Regional","E92000001","England","E12000001","North East","","","","13.4","36.2","32.7","1.4","7.1","6.2","22.9","5.7"
201314,"Academic year","Regional","E92000001","England","E12000001","North East","","","","14.1","36.9","33.3","1.5","7.9","6.8","22.9","6.4"
201415,"Academic year","Regional","E92000001","England","E12000001","North East","","","","16.2","39.8","35.7","1.9","8.7","7.5","23.7","6.8"
201516,"Academic year","Regional","E92000001","England","E12000001","North East","","","","17.3","40.7","36.4","2","9.2","7.9","23.4","7.2"
201617,"Academic year","Regional","E92000001","England","E12000001","North East","","","","18.2","41.6","37.2","2.3","9.6","8.2","23.4","7.3"
201718,"Academic year","Regional","E92000001","England","E12000001","North East","","","","19.3","44","39.4","2.1","10.6","9","24.7","8.4"
201819,"Academic year","Regional","E92000001","England","E12000001","North East","","","","21.3","44.3","40.4","3","11.2","9.8","23","8.3"
201920,"Academic year","Regional","E92000001","England","E12000001","North East","","","","20.8","43","39.3","2.8","11.3","9.9","22.3","8.5"
202021,"Academic year","Regional","E92000001","England","E12000001","North East","","","","21.8","44.3","40.4","3.3","11.8","10.3","22.6","8.4"
202122,"Academic year","Regional","E92000001","England","E12000001","North East","","","","21.9","46.7","42.5","3.5","13.9","12.2","24.7","10.4"
200506,"Academic year","Regional","E92000001","England","E12000002","North West","","","","12.5","34","29.9","x","x","x","21.5","x"
200607,"Academic year","Regional","E92000001","England","E12000002","North West","","","","12.6","34.4","30.4","x","x","x","21.8","x"
200708,"Academic year","Regional","E92000001","England","E12000002","North West","","","","13.6","34.7","30.8","x","x","x","21.1","x"
200809,"Academic year","Regional","E92000001","England","E12000002","North West","","","","14.4","35.2","31.5","1.5","8.3","7.1","20.8","6.7"
200910,"Academic year","Regional","E92000001","England","E12000002","North West","","","","15.7","36.7","33.2","2.1","10.3","8.9","21.1","8.2"
201011,"Academic year","Regional","E92000001","England","E12000002","North West","","","","16.3","38.3","34.7","2.3","10.2","8.9","22","7.8"
201112,"Academic year","Regional","E92000001","England","E12000002","North West","","","","17.5","39.9","36.3","2.2","10.6","9.2","22.5","8.5"
201213,"Academic year","Regional","E92000001","England","E12000002","North West","","","","18.4","40.8","37.1","2.2","9.9","8.7","22.4","7.8"
201314,"Academic year","Regional","E92000001","England","E12000002","North West","","","","19.9","41.6","38","2.7","10.9","9.5","21.7","8.2"
201415,"Academic year","Regional","E92000001","England","E12000002","North West","","","","20.8","43.6","39.7","2.9","12","10.5","22.8","9.1"
201516,"Academic year","Regional","E92000001","England","E12000002","North West","","","","22.2","45","41.2","3.2","12.4","10.8","22.8","9.2"
201617,"Academic year","Regional","E92000001","England","E12000002","North West","","","","23.1","45.1","41.3","2.3","10.5","9.1","22","8.2"
201718,"Academic year","Regional","E92000001","England","E12000002","North West","","","","23.2","45.7","42","3","11.1","9.8","22.5","8.1"
201819,"Academic year","Regional","E92000001","England","E12000002","North West","","","","23.6","45.3","41.9","3.7","13","11.5","21.7","9.3"
201920,"Academic year","Regional","E92000001","England","E12000002","North West","","","","24","45.9","42.6","3.6","12.8","11.4","22","9.1"
202021,"Academic year","Regional","E92000001","England","E12000002","North West","","","","26","46.2","43.1","4","12.6","11.3","20.2","8.6"
202122,"Academic year","Regional","E92000001","England","E12000002","North West","","","","26.6","48.7","45.4","4.6","14.9","13.4","22.1","10.3"
200506,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","10.2","30.5","27.3","x","x","x","20.3","x"
200607,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","11.3","30.6","27.7","x","x","x","19.3","x"
200708,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","11.6","31.3","28.4","x","x","x","19.7","x"
200809,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","13","32.3","29.4","1.4","7.9","7","19.3","6.5"
200910,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","13.4","32.6","29.9","1.7","8.6","7.6","19.2","6.9"
201011,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","15.4","34.3","31.8","1.7","8.5","7.6","18.8","6.8"
201112,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","14.9","34.8","32.1","1.6","8.5","7.6","19.9","6.8"
201213,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","16.1","36.2","33.5","1.6","7.8","6.9","20.2","6.1"
201314,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","17.4","36.8","34.1","1.5","8.5","7.5","19.4","7"
201415,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","18.8","38.7","35.8","2.2","9.6","8.5","19.9","7.4"
201516,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","20.7","41.1","38","2.5","9.9","8.8","20.4","7.4"
201617,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","21.1","42","38.8","2.4","9.6","8.5","21","7.2"
201718,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","21.7","42.9","39.6","2.8","9.9","8.8","21.2","7.1"
201819,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","22","42.7","39.6","2.8","10.9","9.7","20.7","8.1"
201920,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","22.9","42.9","40","3","11.1","9.9","20","8.1"
202021,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","23.8","44.6","41.5","3.2","11.4","10.2","20.8","8.2"
202122,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","","","","25.7","46.3","43.4","3.6","13.1","11.7","20.6","9.4"
200506,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","10.5","32.4","30","x","x","x","21.9","x"
200607,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","10.5","33.1","30.6","x","x","x","22.5","x"
200708,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","11.8","32.3","30.1","x","x","x","20.5","x"
200809,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","13.1","33.6","31.4","1.4","7.7","7","20.5","6.3"
200910,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","12.7","34.2","32.1","2.1","9.4","8.7","21.5","7.3"
201011,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","14.1","35.2","33.2","1.9","9","8.3","21","7.1"
201112,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","14.1","35.5","33.5","1.9","9.3","8.6","21.4","7.4"
201213,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","14.3","36.3","34.1","1.3","7.8","7.2","22","6.5"
201314,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","15.3","36","33.8","1.5","8.3","7.6","20.8","6.8"
201415,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","15.4","38.9","36.3","1.9","9.4","8.6","23.5","7.6"
201516,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","16.4","39.7","37","1.9","9.7","8.8","23.3","7.8"
201617,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","18.7","40.4","37.7","2.1","9.1","8.2","21.7","7"
201718,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","19.9","41.4","38.6","2.3","9.6","8.7","21.5","7.4"
201819,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","18.3","41.6","38.7","2.4","9.8","8.8","23.3","7.4"
201920,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","18.7","42.3","39.5","2.3","9.9","9","23.6","7.5"
202021,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","20.6","43.2","40.6","2.6","10.1","9.3","22.6","7.5"
202122,"Academic year","Regional","E92000001","England","E12000004","East Midlands","","","","21.4","45.7","43","3","12","11","24.3","9"
200506,"Academic year","Regional","E92000001","England","E12000005","West Midlands","","","","14.2","33.3","30.3","x","x","x","19.1","x"
200607,"Academic year","Regional","E92000001","England","E12000005","West Midlands","","","","15.1","33.6","30.7","x","x","x","18.5","x"
200708,"Academic year","Regional","E92000001","England","E12000005","West Midlands","","","","15.5","33.7","30.9","x","x","x","18.3","x"
200809,"Academic year","Regional","E92000001","England","E12000005","West Midlands","","","","17.3","34.3","31.8","1.7","7.4","6.5","17.1","5.7"
200910,"Academic year","Regional","E92000001","England","E12000005","West Midlands","","","","18.1","35.7","33.1","2","8.8","7.8","17.6","6.8"
201011,"Academic year","Regional","E92000001","England","E12000005","West Midlands","","","","19","36.9","34.2","1.7","8.4","7.4","17.9","6.6"
201112,"Academic year","Regional","E92000001","England","E12000005","West Midlands","","","","18.6","37.4","34.7","3.1","9.1","8.2","18.9","6"
201213,"Academic year","Regional","E92000001","England","E12000005","West Midlands","","","","21.2","38.4","35.8","2","7.9","7","17.1","5.9"
201314,"Academic year","Regional","E92000001","England","E12000005","West Midlands","","","","22.2","39","36.3","2.2","8.8","7.7","16.8","6.6"
201415,"Academic year","Regional","E92000001","England","E12000005","West Midlands","","","","23.9","41.1","38.2","2.7","9.5","8.4","17.1","6.8"
201516,"Academic year","Regional","E92000001","England","E12000005","West Midlands","","","","25.7","43.2","40.3","2.7","9.9","8.7","17.5","7.2"
201617,"Academic year","Regional","E92000001","England","E12000005","West Midlands","","","","26.4","43.4","40.5","2.7","8.9","7.8","17","6.2"
201718,"Academic year","Regional","E92000001","England","E12000005","West Midlands","","","","26.8","44.5","41.5","3","9.1","8.1","17.7","6.1"
201819,"Academic year","Regional","E92000001","England","E12000005","West Midlands","","","","27.6","44.6","41.9","3.3","9.4","8.4","17","6.1"
201920,"Academic year","Regional","E92000001","England","E12000005","West Midlands","","","","27.8","44.8","42.1","3.3","9.5","8.5","17","6.2"
202021,"Academic year","Regional","E92000001","England","E12000005","West Midlands","","","","29.5","45.7","43.2","3.6","10","9","16.2","6.3"
202122,"Academic year","Regional","E92000001","England","E12000005","West Midlands","","","","29.9","47.8","45.1","4.3","11.8","10.6","18","7.4"
200506,"Academic year","Regional","E92000001","England","E12000006","East of England","","","","11.4","31.9","30.1","x","x","x","20.6","x"
200607,"Academic year","Regional","E92000001","England","E12000006","East of England","","","","11.1","32.5","30.6","x","x","x","21.4","x"
200708,"Academic year","Regional","E92000001","England","E12000006","East of England","","","","13","32.6","30.8","x","x","x","19.6","x"
200809,"Academic year","Regional","E92000001","England","E12000006","East of England","","","","13.7","34.2","32.4","1.5","7.7","7.1","20.5","6.2"
200910,"Academic year","Regional","E92000001","England","E12000006","East of England","","","","14.3","35.9","34.1","1.1","9","8.3","21.6","7.9"
201011,"Academic year","Regional","E92000001","England","E12000006","East of England","","","","15.6","36.9","35.2","1.5","9","8.4","21.3","7.5"
201112,"Academic year","Regional","E92000001","England","E12000006","East of England","","","","15.6","37.5","35.8","2.4","11.4","10.7","21.8","9"
201213,"Academic year","Regional","E92000001","England","E12000006","East of England","","","","16.4","37.4","35.8","2","10.1","9.4","21","8.1"
201314,"Academic year","Regional","E92000001","England","E12000006","East of England","","","","16.5","37.1","35.4","1.7","9.2","8.6","20.7","7.6"
201415,"Academic year","Regional","E92000001","England","E12000006","East of England","","","","17.4","39.7","37.7","2.7","11.7","10.9","22.2","9"
201516,"Academic year","Regional","E92000001","England","E12000006","East of England","","","","20.9","41.3","39.4","2.4","11.7","10.8","20.5","9.3"
201617,"Academic year","Regional","E92000001","England","E12000006","East of England","","","","19.1","41.6","39.3","2.3","10.7","9.8","22.5","8.4"
201718,"Academic year","Regional","E92000001","England","E12000006","East of England","","","","19.3","42.4","40","2.3","10.7","9.8","23.1","8.4"
201819,"Academic year","Regional","E92000001","England","E12000006","East of England","","","","20.5","42.8","40.6","2.8","11.2","10.3","22.3","8.4"
201920,"Academic year","Regional","E92000001","England","E12000006","East of England","","","","19.8","43.2","40.9","2.4","11.1","10.2","23.4","8.7"
202021,"Academic year","Regional","E92000001","England","E12000006","East of England","","","","21.6","44.6","42.5","2.6","11.7","10.9","23","9.2"
202122,"Academic year","Regional","E92000001","England","E12000006","East of England","","","","22.9","47.5","45.3","3.4","13.7","12.8","24.6","10.3"
200506,"Academic year","Regional","E92000001","England","E13000001","Inner London","","","","27.8","36.9","33.4","x","x","x","9","x"
200607,"Academic year","Regional","E92000001","England","E13000001","Inner London","","","","29.4","40.4","36.1","x","x","x","11","x"
200708,"Academic year","Regional","E92000001","England","E13000001","Inner London","","","","31.5","40.7","37.2","x","x","x","9.3","x"
200809,"Academic year","Regional","E92000001","England","E13000001","Inner London","","","","34.8","43.2","40","2.8","7.6","5.7","8.4","4.8"
200910,"Academic year","Regional","E92000001","England","E13000001","Inner London","","","","37.5","44.7","42","2.9","8.1","6.2","7.2","5.2"
201011,"Academic year","Regional","E92000001","England","E13000001","Inner London","","","","38.3","45.5","43","4.8","10","8.2","7.1","5.2"
201112,"Academic year","Regional","E92000001","England","E13000001","Inner London","","","","39.6","47.1","44.5","5.3","11.2","9.2","7.5","5.9"
201213,"Academic year","Regional","E92000001","England","E13000001","Inner London","","","","40.1","48","45.3","4.7","10.3","8.3","7.9","5.6"
201314,"Academic year","Regional","E92000001","England","E13000001","Inner London","","","","41.6","49","46.3","5.6","11.3","9.3","7.4","5.7"
201415,"Academic year","Regional","E92000001","England","E13000001","Inner London","","","","46.8","53.8","51.3","6.7","13.2","10.9","6.9","6.5"
201516,"Academic year","Regional","E92000001","England","E13000001","Inner London","","","","48","56.7","53.6","5.3","12.6","10","8.6","7.3"
201617,"Academic year","Regional","E92000001","England","E13000001","Inner London","","","","49.7","58.2","55.1","6","12.2","10","8.4","6.2"
201718,"Academic year","Regional","E92000001","England","E13000001","Inner London","","","","48.5","57.9","54.8","6.2","13.4","11","9.5","7.1"
201819,"Academic year","Regional","E92000001","England","E13000001","Inner London","","","","49","59.2","56.1","10.4","17","15","10.1","6.5"
201920,"Academic year","Regional","E92000001","England","E13000001","Inner London","","","","48.5","59.6","56.4","9.5","17.1","14.9","11","7.7"
202021,"Academic year","Regional","E92000001","England","E13000001","Inner London","","","","50.4","61.4","58.4","11.1","17.7","15.9","11","6.7"
202122,"Academic year","Regional","E92000001","England","E13000001","Inner London","","","","51.5","64.1","60.9","13.6","21.3","19.4","12.6","7.7"
200506,"Academic year","Regional","E92000001","England","E13000002","Outer London","","","","23.3","41.3","38.2","x","x","x","18","x"
200607,"Academic year","Regional","E92000001","England","E13000002","Outer London","","","","25.4","42.4","39.5","x","x","x","16.9","x"
200708,"Academic year","Regional","E92000001","England","E13000002","Outer London","","","","26.3","42.8","40","x","x","x","16.6","x"
200809,"Academic year","Regional","E92000001","England","E13000002","Outer London","","","","27.9","43.7","41","2.6","9.9","8.6","15.8","7.3"
200910,"Academic year","Regional","E92000001","England","E13000002","Outer London","","","","29.9","46.1","43.3","2.7","11.1","9.7","16.2","8.4"
201011,"Academic year","Regional","E92000001","England","E13000002","Outer London","","","","32.4","47.4","44.9","4.6","12.8","11.5","15","8.2"
201112,"Academic year","Regional","E92000001","England","E13000002","Outer London","","","","33.5","48.2","45.9","5.1","14.6","13","14.7","9.4"
201213,"Academic year","Regional","E92000001","England","E13000002","Outer London","","","","35.4","48.9","46.8","4.4","13.4","12","13.5","9"
201314,"Academic year","Regional","E92000001","England","E13000002","Outer London","","","","37.2","48.7","46.8","5.3","13.6","12.2","11.5","8.3"
201415,"Academic year","Regional","E92000001","England","E13000002","Outer London","","","","39.7","52.8","50.6","5.8","15.6","14","13.1","9.8"
201516,"Academic year","Regional","E92000001","England","E13000002","Outer London","","","","42.9","54.5","52.5","5.3","14.4","12.9","11.6","9.2"
201617,"Academic year","Regional","E92000001","England","E13000002","Outer London","","","","43","55.8","53.5","5.4","14.8","13.1","12.8","9.3"
201718,"Academic year","Regional","E92000001","England","E13000002","Outer London","","","","41.9","56.6","54.2","6.2","14.9","13.5","14.7","8.7"
201819,"Academic year","Regional","E92000001","England","E13000002","Outer London","","","","41.3","57.1","54.7","7.3","17.5","15.9","15.8","10.2"
201920,"Academic year","Regional","E92000001","England","E13000002","Outer London","","","","41.2","58.1","55.6","6.9","16.6","15.2","16.9","9.7"
202021,"Academic year","Regional","E92000001","England","E13000002","Outer London","","","","44.3","59.5","57.5","8.2","17.5","16.2","15.2","9.3"
202122,"Academic year","Regional","E92000001","England","E13000002","Outer London","","","","46.3","62.8","60.7","10.1","21.2","19.7","16.5","11"
200506,"Academic year","Regional","E92000001","England","E12000007","London","","","","25.6","40.2","36.7","x","x","x","14.6","x"
200607,"Academic year","Regional","E92000001","England","E12000007","London","","","","27.5","41.9","38.5","x","x","x","14.4","x"
200708,"Academic year","Regional","E92000001","England","E12000007","London","","","","28.9","42.3","39.1","x","x","x","13.4","x"
200809,"Academic year","Regional","E92000001","England","E12000007","London","","","","31.3","43.5","40.7","2.7","9.3","7.7","12.2","6.6"
200910,"Academic year","Regional","E92000001","England","E12000007","London","","","","33.7","45.7","42.9","2.8","10.4","8.6","12.1","7.5"
201011,"Academic year","Regional","E92000001","England","E12000007","London","","","","35.3","46.9","44.3","4.7","12.1","10.5","11.6","7.4"
201112,"Academic year","Regional","E92000001","England","E12000007","London","","","","36.5","47.9","45.5","5.2","13.7","11.8","11.4","8.5"
201213,"Academic year","Regional","E92000001","England","E12000007","London","","","","37.7","48.7","46.3","4.6","12.6","10.8","11","8"
201314,"Academic year","Regional","E92000001","England","E12000007","London","","","","39.4","48.8","46.7","5.4","13","11.3","9.4","7.6"
201415,"Academic year","Regional","E92000001","England","E12000007","London","","","","43.2","53.1","50.8","6.2","15","13","9.8","8.7"
201516,"Academic year","Regional","E92000001","England","E12000007","London","","","","45.4","55.1","52.9","5.3","14","12","9.6","8.7"
201617,"Academic year","Regional","E92000001","England","E12000007","London","","","","46.3","56.4","54","5.7","14.1","12.1","10.2","8.4"
201718,"Academic year","Regional","E92000001","England","E12000007","London","","","","45.2","57","54.4","6.2","14.5","12.7","11.8","8.3"
201819,"Academic year","Regional","E92000001","England","E12000007","London","","","","45.1","57.7","55.2","8.8","17.3","15.6","12.6","8.5"
201920,"Academic year","Regional","E92000001","England","E12000007","London","","","","44.8","58.5","55.9","8.2","16.8","15.1","13.7","8.6"
202021,"Academic year","Regional","E92000001","England","E12000007","London","","","","47.4","60.1","57.8","9.7","17.5","16.1","12.6","7.9"
202122,"Academic year","Regional","E92000001","England","E12000007","London","","","","48.8","63.2","60.8","11.9","21.2","19.6","14.3","9.3"
200506,"Academic year","Regional","E92000001","England","E12000008","South East","","","","9.9","34.2","32.2","x","x","x","24.3","x"
200607,"Academic year","Regional","E92000001","England","E12000008","South East","","","","11","34.9","33","x","x","x","24","x"
200708,"Academic year","Regional","E92000001","England","E12000008","South East","","","","10.9","34","32.1","x","x","x","23.2","x"
200809,"Academic year","Regional","E92000001","England","E12000008","South East","","","","11.5","35","33.1","1.2","9","8.3","23.5","7.8"
200910,"Academic year","Regional","E92000001","England","E12000008","South East","","","","12.3","36","34.3","1.3","10","9.4","23.7","8.7"
201011,"Academic year","Regional","E92000001","England","E12000008","South East","","","","13.3","37.2","35.5","1.8","10.2","9.5","23.9","8.3"
201112,"Academic year","Regional","E92000001","England","E12000008","South East","","","","13.4","38.2","36.4","1.8","12.4","11.7","24.8","10.6"
201213,"Academic year","Regional","E92000001","England","E12000008","South East","","","","13.8","37.9","36","1.7","10.9","10.2","24","9.2"
201314,"Academic year","Regional","E92000001","England","E12000008","South East","","","","14.2","38.1","36.2","1.8","11.4","10.6","23.9","9.6"
201415,"Academic year","Regional","E92000001","England","E12000008","South East","","","","16.3","40.4","38.4","2.5","12.6","11.8","24","10.1"
201516,"Academic year","Regional","E92000001","England","E12000008","South East","","","","16.2","42.1","39.8","2.7","12.7","11.8","25.9","10"
201617,"Academic year","Regional","E92000001","England","E12000008","South East","","","","17.2","42.5","40","2.5","12.4","11.5","25.3","10"
201718,"Academic year","Regional","E92000001","England","E12000008","South East","","","","17.9","43.8","41.4","2.6","12.7","11.7","26","10.1"
201819,"Academic year","Regional","E92000001","England","E12000008","South East","","","","17.7","43.9","41.5","2.4","12.8","11.9","26.3","10.4"
201920,"Academic year","Regional","E92000001","England","E12000008","South East","","","","18.7","45.1","42.7","2.1","12.6","11.7","26.3","10.5"
202021,"Academic year","Regional","E92000001","England","E12000008","South East","","","","19.2","46.1","43.7","2.4","13","12.1","26.9","10.6"
202122,"Academic year","Regional","E92000001","England","E12000008","South East","","","","21.2","48.6","46.3","3.3","15.2","14.1","27.4","11.8"
200506,"Academic year","Regional","E92000001","England","E12000009","South West","","","","9.2","31.3","29.4","x","x","x","22.1","x"
200607,"Academic year","Regional","E92000001","England","E12000009","South West","","","","9.4","31.1","29.3","x","x","x","21.7","x"
200708,"Academic year","Regional","E92000001","England","E12000009","South West","","","","9.3","30.4","28.7","x","x","x","21.2","x"
200809,"Academic year","Regional","E92000001","England","E12000009","South West","","","","10.3","31.5","29.8","1.8","8.5","8","21.2","6.7"
200910,"Academic year","Regional","E92000001","England","E12000009","South West","","","","10.9","32.6","31","1.5","9.1","8.5","21.7","7.6"
201011,"Academic year","Regional","E92000001","England","E12000009","South West","","","","12.6","33.5","32","1.6","8.8","8.2","20.9","7.2"
201112,"Academic year","Regional","E92000001","England","E12000009","South West","","","","12.4","34.5","32.8","2","9.6","9","22.1","7.6"
201213,"Academic year","Regional","E92000001","England","E12000009","South West","","","","13.3","34.9","33.2","1.6","9.1","8.5","21.6","7.5"
201314,"Academic year","Regional","E92000001","England","E12000009","South West","","","","13.9","34.6","32.9","1.9","9.6","8.9","20.7","7.7"
201415,"Academic year","Regional","E92000001","England","E12000009","South West","","","","14.9","36.7","34.7","2.3","10.7","10","21.9","8.4"
201516,"Academic year","Regional","E92000001","England","E12000009","South West","","","","15.7","37.9","35.7","2.3","10.7","9.9","22.2","8.4"
201617,"Academic year","Regional","E92000001","England","E12000009","South West","","","","15.8","38.9","36.5","2.4","11","10.1","23.1","8.5"
201718,"Academic year","Regional","E92000001","England","E12000009","South West","","","","17.5","39.5","37.3","2.7","10.9","10.1","21.9","8.2"
201819,"Academic year","Regional","E92000001","England","E12000009","South West","","","","17.2","40","37.7","2.1","9.9","9.1","22.8","7.8"
201920,"Academic year","Regional","E92000001","England","E12000009","South West","","","","17.1","40.4","38","2.7","10.4","9.6","23.3","7.7"
202021,"Academic year","Regional","E92000001","England","E12000009","South West","","","","18.8","41.5","39.1","2.9","11.3","10.4","22.7","8.3"
202122,"Academic year","Regional","E92000001","England","E12000009","South West","","","","18.7","43.3","40.9","3.1","12.6","11.7","24.6","9.5"
200506,"Academic year","Local authority","E92000001","England","E12000001","North East","390","E08000037","Gateshead","10.4","33.9","29.4","x","x","x","23.5","x"
200607,"Academic year","Local authority","E92000001","England","E12000001","North East","390","E08000037","Gateshead","13.7","34.1","30.3","x","x","x","20.4","x"
200708,"Academic year","Local authority","E92000001","England","E12000001","North East","390","E08000037","Gateshead","10.3","35.6","30.9","x","x","x","25.3","x"
200809,"Academic year","Local authority","E92000001","England","E12000001","North East","390","E08000037","Gateshead","11.4","34.4","30.8","1.1","8","6.9","23","6.9"
200910,"Academic year","Local authority","E92000001","England","E12000001","North East","390","E08000037","Gateshead","15.6","35.3","32.3","0.6","7.5","6.4","19.7","6.9"
201011,"Academic year","Local authority","E92000001","England","E12000001","North East","390","E08000037","Gateshead","12.8","35.4","31.5","1.3","8.4","7.1","22.6","7.1"
201112,"Academic year","Local authority","E92000001","England","E12000001","North East","390","E08000037","Gateshead","13.2","35.5","32.2","1.2","8","7","22.4","6.8"
201213,"Academic year","Local authority","E92000001","England","E12000001","North East","390","E08000037","Gateshead","13.8","39","35.2","2.2","8.7","7.7","25.1","6.5"
201314,"Academic year","Local authority","E92000001","England","E12000001","North East","390","E08000037","Gateshead","14","36.4","33","1.2","8.5","7.4","22.4","7.2"
201415,"Academic year","Local authority","E92000001","England","E12000001","North East","390","E08000037","Gateshead","16.1","39.4","35.6","1.4","10.8","9.3","23.3","9.5"
201516,"Academic year","Local authority","E92000001","England","E12000001","North East","390","E08000037","Gateshead","15.8","40.3","36.5","2.1","11.4","9.9","24.5","9.2"
201617,"Academic year","Local authority","E92000001","England","E12000001","North East","390","E08000037","Gateshead","16.1","42.2","37.9","3.6","12.1","10.7","26.1","8.5"
201718,"Academic year","Local authority","E92000001","England","E12000001","North East","390","E08000037","Gateshead","17.8","43.8","39.7","2.7","12.3","10.8","26","9.6"
201819,"Academic year","Local authority","E92000001","England","E12000001","North East","390","E08000037","Gateshead","19.6","45.7","42.2","2.5","13.1","11.7","26.1","10.5"
201920,"Academic year","Local authority","E92000001","England","E12000001","North East","390","E08000037","Gateshead","18.7","43.2","39.9","3.4","13.2","11.9","24.5","9.8"
202021,"Academic year","Local authority","E92000001","England","E12000001","North East","390","E08000037","Gateshead","24.1","46.5","43.1","3.4","13.3","11.8","22.4","9.8"
