"time_period","time_identifier","geographic_level","country_code","country_name","gender","fsm_status","ethnicity_major","ethnicity_minor","progression_rate","high_tariff_progression_rate","number_of_he_students","number_of_high_tariff_he_students","number_of_students"
201920,"Academic year","National","E92000001","England","Female","Total","Asian","Total",70.2,16,17339,3946,24692
201920,"Academic year","National","E92000001","England","Female","Total","Black","Black Caribbean",54,6.5,1974,236,3658
201920,"Academic year","National","E92000001","England","Female","Total","Black","Black - African",75.2,14.9,6518,1295,8670
201920,"Academic year","National","E92000001","England","Female","Total","Black","Any Other Black Background",63.5,9.9,1058,165,1667
201920,"Academic year","National","E92000001","England","Female","Total","Black","Total",68.2,12.1,9550,1696,13995
201920,"Academic year","National","E92000001","England","Female","Total","Chinese","Chinese",84.5,39.9,843,398,998
201920,"Academic year","National","E92000001","England","Female","Total","Any Other Ethnic Group","Any Other Ethnic Group",64.5,14.5,2526,567,3918
201920,"Academic year","National","E92000001","England","Female","Total","Unknown","Unknown",50.1,14.5,1195,346,2386
201920,"Academic year","National","E92000001","England","Female","Total","Total","Total",48.9,12.2,129831,32305,265283
201920,"Academic year","National","E92000001","England","Male","Free School Meals","White","White - British",12.6,1.7,2993,398,23756
201920,"Academic year","National","E92000001","England","Male","Free School Meals","White","White - Irish",22.7,3.4,27,4,119
201920,"Academic year","National","E92000001","England","Male","Free School Meals","White","Traveller of Irish Heritage",5.3,2.6,2,1,38
201920,"Academic year","National","E92000001","England","Male","Free School Meals","White","Gypsy / Roma",3.7,0,6,0,162
201920,"Academic year","National","E92000001","England","Male","Free School Meals","White","Any Other White Background",35.3,6.5,467,86,1322
201920,"Academic year","National","E92000001","England","Male","Free School Meals","White","Total",13.8,1.9,3495,489,25397
201920,"Academic year","National","E92000001","England","Male","Free School Meals","Mixed","White and Black Caribbean",18,1.8,147,15,816
201920,"Academic year","National","E92000001","England","Male","Free School Meals","Mixed","White and Black African",27,2.9,74,8,274
201920,"Academic year","National","E92000001","England","Male","Free School Meals","Mixed","White and Asian",30.9,4.5,111,16,359
201920,"Academic year","National","E92000001","England","Male","Free School Meals","Mixed","Any Other Mixed Background",28.4,5.3,188,35,662
201920,"Academic year","National","E92000001","England","Male","Free School Meals","Mixed","Total",24.6,3.5,520,74,2111
201920,"Academic year","National","E92000001","England","Male","Free School Meals","Asian","Indian",48.4,9.6,262,52,541
201920,"Academic year","National","E92000001","England","Male","Free School Meals","Asian","Pakistani",41.7,5.6,995,134,2387
201920,"Academic year","National","E92000001","England","Male","Free School Meals","Asian","Bangladeshi",51.6,11.1,657,141,1273
201920,"Academic year","National","E92000001","England","Male","Free School Meals","Asian","Any Other Asian Background",48.9,8.9,257,47,526
201920,"Academic year","National","E92000001","England","Male","Free School Meals","Asian","Total",45.9,7.9,2171,374,4727
201920,"Academic year","National","E92000001","England","Male","Free School Meals","Black","Black Caribbean",24.3,1.9,204,16,841
201920,"Academic year","National","E92000001","England","Male","Free School Meals","Black","Black - African",51.1,6.6,1064,137,2084
201920,"Academic year","National","E92000001","England","Male","Free School Meals","Black","Any Other Black Background",36.3,2.8,145,11,399
201920,"Academic year","National","E92000001","England","Male","Free School Meals","Black","Total",42.5,4.9,1413,164,3324
201920,"Academic year","National","E92000001","England","Male","Free School Meals","Chinese","Chinese",70.3,17.2,45,11,64
201920,"Academic year","National","E92000001","England","Male","Free School Meals","Any Other Ethnic Group","Any Other Ethnic Group",49.4,10.5,531,113,1075
201920,"Academic year","National","E92000001","England","Male","Free School Meals","Unknown","Unknown",25.1,4,108,17,430
201920,"Academic year","National","E92000001","England","Male","Free School Meals","Total","Total",22.3,3.3,8283,1242,37128
201920,"Academic year","National","E92000001","England","Male","All Other Pupils","White","White - British",35.5,9.8,63205,17524,178050
201920,"Academic year","National","E92000001","England","Male","All Other Pupils","White","White - Irish",52.2,20.5,403,158,772
201920,"Academic year","National","E92000001","England","Male","All Other Pupils","White","Traveller of Irish Heritage",15.4,7.7,4,2,26
201920,"Academic year","National","E92000001","England","Male","All Other Pupils","White","Gypsy / Roma",6.5,0.8,25,3,383
201920,"Academic year","National","E92000001","England","Male","All Other Pupils","White","Any Other White Background",42.4,11.8,4758,1326,11220
201920,"Academic year","National","E92000001","England","Male","All Other Pupils","White","Total",35.9,10,68395,19013,190451
201920,"Academic year","National","E92000001","England","Male","All Other Pupils","Mixed","White and Black Caribbean",32.9,6.9,921,192,2797
201920,"Academic year","National","E92000001","England","Male","All Other Pupils","Mixed","White and Black African",49,9.7,529,105,1079
201920,"Academic year","National","E92000001","England","Male","All Other Pupils","Mixed","White and Asian",54.9,19.5,1200,427,2185
