"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","gender","fsm_status","ethnicity_major","progression_rate","high_tariff_progression_rate","number_of_he_students","number_of_high_tariff_he_students","number_of_students"
201415,"Academic year","Regional","E92000001","England","E12000007","London","Female","Total","Mixed",53.8,13.8,1529,393,2841
201415,"Academic year","Regional","E92000001","England","E12000007","London","Female","Total","Unknown",55.3,20.8,295,111,533
201415,"Academic year","Regional","E92000001","England","E12000007","London","Female","Total","Asian",71.2,18.1,4846,1232,6806
201415,"Academic year","Regional","E92000001","England","E12000007","London","Female","Total","Black",65.1,9.2,5426,767,8337
201415,"Academic year","Regional","E92000001","England","E12000007","London","Female","Total","Chinese",80.9,38.1,242,114,299
201415,"Academic year","Regional","E92000001","England","E12000007","London","Female","Total","Any Other Ethnic Group",62.8,13.5,1096,235,1744
201415,"Academic year","Regional","E92000001","England","E12000007","London","Female","Total","Total",55.6,13.7,20800,5130,37417
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","Free School Meals","White",21.9,3.2,613,89,2801
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","Free School Meals","Mixed",28.8,3.9,192,26,666
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","Free School Meals","Unknown",36.5,13.9,42,16,115
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","Free School Meals","Asian",50,10.8,904,196,1809
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","Free School Meals","Black",46.5,4.7,1208,122,2597
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","Free School Meals","Chinese",65.2,17.4,30,8,46
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","Free School Meals","Any Other Ethnic Group",52.3,10.3,372,73,711
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","Free School Meals","Total",38.4,6.1,3361,530,8745
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","All Other Pupils","White",39.7,13.4,5792,1959,14601
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","All Other Pupils","Mixed",47.8,15.1,988,312,2067
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","All Other Pupils","Unknown",58,27.7,255,122,440
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","All Other Pupils","Asian",64.5,19.5,3419,1034,5300
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","All Other Pupils","Black",53.6,7.6,2792,395,5209
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","All Other Pupils","Chinese",77.2,38.4,179,89,232
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","All Other Pupils","Any Other Ethnic Group",51.7,15.3,698,206,1349
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","All Other Pupils","Total",48.4,14.1,14123,4117,29198
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","Total","White",36.8,11.8,6405,2048,17402
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","Total","Mixed",43.2,12.4,1180,338,2733
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","Total","Unknown",53.5,24.9,297,138,555
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","Total","Asian",60.8,17.3,4323,1230,7109
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","Total","Black",51.2,6.6,4000,517,7806
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","Total","Chinese",75.2,34.9,209,97,278
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","Total","Any Other Ethnic Group",51.9,13.5,1070,279,2060
201415,"Academic year","Regional","E92000001","England","E12000007","London","Male","Total","Total",46.1,12.2,17484,4647,37943
201415,"Academic year","Regional","E92000001","England","E12000007","London","Total","Free School Meals","White",24.7,3.3,1345,181,5440
201415,"Academic year","Regional","E92000001","England","E12000007","London","Total","Free School Meals","Mixed",35,5,475,68,1356
201415,"Academic year","Regional","E92000001","England","E12000007","London","Total","Free School Meals","Unknown",40,12.3,88,27,220
201415,"Academic year","Regional","E92000001","England","E12000007","London","Total","Free School Meals","Asian",55.1,10.2,1939,360,3521
201415,"Academic year","Regional","E92000001","England","E12000007","London","Total","Free School Meals","Black",52.5,5.4,2788,289,5312
201415,"Academic year","Regional","E92000001","England","E12000007","London","Total","Free School Meals","Chinese",65.9,19.5,54,16,82
201415,"Academic year","Regional","E92000001","England","E12000007","London","Total","Free School Meals","Any Other Ethnic Group",57.8,10.2,791,139,1369
201415,"Academic year","Regional","E92000001","England","E12000007","London","Total","Free School Meals","Total",43.2,6.2,7480,1080,17300
201415,"Academic year","Regional","E92000001","England","E12000007","London","Total","All Other Pupils","White",43.1,14.4,12426,4145,28819
201415,"Academic year","Regional","E92000001","England","E12000007","London","Total","All Other Pupils","Mixed",53,15.7,2234,663,4218
201415,"Academic year","Regional","E92000001","England","E12000007","London","Total","All Other Pupils","Unknown",58.1,25.6,504,222,868
201415,"Academic year","Regional","E92000001","England","E12000007","London","Total","All Other Pupils","Asian",69.6,20.2,7230,2102,10394
201415,"Academic year","Regional","E92000001","England","E12000007","London","Total","All Other Pupils","Black",61.3,9.2,6638,995,10831
201415,"Academic year","Regional","E92000001","England","E12000007","London","Total","All Other Pupils","Chinese",80.2,39.4,397,195,495
201415,"Academic year","Regional","E92000001","England","E12000007","London","Total","All Other Pupils","Any Other Ethnic Group",56.5,15.4,1375,375,2435
201415,"Academic year","Regional","E92000001","England","E12000007","London","Total","All Other Pupils","Total",53.1,15,30804,8697,58060
201415,"Academic year","Regional","E92000001","England","E12000007","London","Total","Total","White",40.2,12.6,13771,4326,34259
201415,"Academic year","Regional","E92000001","England","E12000007","London","Total","Total","Mixed",48.6,13.1,2709,731,5574
201415,"Academic year","Regional","E92000001","England","E12000007","London","Total","Total","Unknown",54.4,22.9,592,249,1088
