"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","old_la_code","new_la_code","la_name","sen_status","progression_rate","high_tariff_progression_rate","number_of_he_students","number_of_high_tariff_he_students","number_of_students"
201819,"Academic year","Local authority","E92000001","England","E13000001","Inner London","204","E09000012","Hackney","All SEN",31.1,"4.3",168,"23",540
201920,"Academic year","Local authority","E92000001","England","E13000001","Inner London","204","E09000012","Hackney","Total",57.1,"16",1167,"327",2045
201920,"Academic year","Local authority","E92000001","England","E13000001","Inner London","204","E09000012","Hackney","No Identified SEN",63.9,"18.4",985,"283",1542
201920,"Academic year","Local authority","E92000001","England","E13000001","Inner London","204","E09000012","Hackney","All SEN",36.2,"8.7",182,"44",503
202021,"Academic year","Local authority","E92000001","England","E13000001","Inner London","204","E09000012","Hackney","Total",58.3,"15.7",1178,"317",2022
202021,"Academic year","Local authority","E92000001","England","E13000001","Inner London","204","E09000012","Hackney","No Identified SEN",65.1,"19.2",962,"283",1477
202021,"Academic year","Local authority","E92000001","England","E13000001","Inner London","204","E09000012","Hackney","All SEN",39.6,"6.2",216,"34",545
202122,"Academic year","Local authority","E92000001","England","E13000001","Inner London","204","E09000012","Hackney","Total",58.3,"18.6",1203,"383",2063
202122,"Academic year","Local authority","E92000001","England","E13000001","Inner London","204","E09000012","Hackney","No Identified SEN",66,"22",1041,"347",1577
202122,"Academic year","Local authority","E92000001","England","E13000001","Inner London","204","E09000012","Hackney","All SEN",33.3,"7.4",162,"36",486
200910,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","Total",47.8,"14.9",576,"180",1206
200910,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","No Identified SEN",56,"18.9",508,"171",907
200910,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","All SEN",22.7,"3",68,"9",299
201011,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","Total",50,"17.8",565,"201",1131
201011,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","No Identified SEN",60,"23.7",491,"194",818
201011,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","All SEN",23.6,"2.2",74,"7",313
201112,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","Total",50.9,"16",597,"188",1173
201112,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","No Identified SEN",60.9,"21.2",497,"173",816
201112,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","All SEN",28,"4.2",100,"15",357
201213,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","Total",54.5,"19.9",596,"217",1093
201213,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","No Identified SEN",65.5,"26.4",501,"202",765
201213,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","All SEN",29,"4.6",95,"15",328
201314,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","Total",56.5,"22",607,"236",1074
201314,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","No Identified SEN",69.5,"31.8",500,"229",719
201314,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","All SEN",30.1,"2",107,"7",355
201415,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","Total",59.8,"23.5",650,"255",1087
201415,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","No Identified SEN",70.5,"31",550,"242",780
201415,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","All SEN",32.6,"4.2",100,"13",307
201516,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","Total",59.1,"20.8",662,"233",1121
201516,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","No Identified SEN",71.1,"27.9",548,"215",771
201516,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","All SEN",32.6,"5.1",114,"18",350
201617,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","Total",60,"20.4",707,"240",1179
201617,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","No Identified SEN",68.1,"24.7",610,"221",896
201617,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","All SEN",34.3,"6.7",97,"19",283
201718,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","Total",60.6,"19.7",686,"223",1132
201718,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","No Identified SEN",71.7,"25.5",599,"213",836
201718,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","All SEN",29.4,"3.4",87,"10",296
201819,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","Total",60.9,"24.4",696,"279",1143
201819,"Academic year","Local authority","E92000001","England","E13000001","Inner London","205","E09000013","Hammersmith and Fulham","No Identified SEN",68.5,"29.3",634,"271",925
